Unnamed: 0,accident_date,aircraft_type,registration,operator,fatalities,location,damage_severity,manufacturer
853,21 Aug 2019,Airbus A340-642,G-VFIT,Virgin Atlantic Airways,0.0,over Black Sea,Non,Airbus
854,21 Aug 2019,Cessna 750 Citation X,1060,Fuerza Aérea Venezolana - FAV,0.0,Caracas/La Carlota-Gen. Francisco de Miranda Air Base (SVFM),W/O,Cessna
855,21 Aug 2019,Cessna 208B Super Cargomaster,C-FEXE,Morningstar Air Express,0.0,"Vancouver International Airport, BC (YVR/CYVR)",Sub,Cessna
856,21 Aug 2019,Cessna 560XL Citation Excel,N91GY,Delta Private Jets,0.0,"Oroville Airport, CA (OVE)",W/O,Cessna
857,22 Aug 2019,Airbus A380-861,A6-EOP,Emirates,0.0,Dubai Airport (DXB),Sub,Airbus
858,23 Aug 2019,Antonov An-2T,OK-TIR,Club Tiroler Adler,0.0,Gmunden Airfield,Sub,Antonov
859,25 Aug 2019,Lockheed C-130A Hercules,N119TG,International Air Response,0.0,"Santa Barbara Airport, CA (SBA)",Sub,Lockheed
860,26 Aug 2019,McDonnell Douglas MD-88,N911DL,Delta Air Lines,0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",Non,Mcdonnell
861,27 Aug 2019,Airbus A320-251N,N328FR,Frontier Airlines,0.0,"near Denver, CO",Non,Airbus
862,27 Aug 2019,Airbus A330-343,B-5958,Air China,0.0,Beijing-Capital International Airport (PEK),Sub,Airbus
863,27 Aug 2019,Cessna 560XL Citation Excel,VT-AVV,Air Charter Services,0.0,Aligarh Airport,W/O,Cessna
864,28 Aug 2019,Cessna 525 CitationJet CJ1+,D-ICEY,Lenox Handels und Speditions GmbH,0.0,Egelsbach Airfield (EDFE),Sub,Cessna
865,28 Aug 2019,Antonov An-2R,RA-40389,private,0.0,"Selektsionny, Lgovsky district, Kursk region",Sub,Antonov
866,30 Aug 2019,Antonov An-2R,RA-33061,private,2.0,Lake Syuryun-Kyuel area,W/O,Antonov
867,31 Aug 2019,Cessna 510 Citation Mustang,N551WH,Star Jet LLC,0.0,"El Monte-San Gabriel Valley Airport, CA (EMT)",Sub,Cessna
868,1 Sep 2019,Airbus A330-202,5A-LAU,Libyan Airlines,0.0,Tripoli-Mitiga International Airport (MJI),Min,Airbus
869,1 Sep 2019,Beechcraft B300 King Air 350,RP-C2296,Lionair Inc.,9.0,"Pansol, Calamba, Laguna",W/O,Beechcraft
870,2 Sep 2019,British Aerospace BAe-125-700A,XB-PTW,private,2.0,near Nueva Cajolá,W/O,British
871,5 Sep 2019,Cessna 560XLS+ Citation XLS+,OE-GES,Jet 24 GmbH,0.0,Milano-Malpensa Airport (MXP),Sub,Cessna
872,6 Sep 2019,Airbus A319-132,N515NK,Spirit Airlines,0.0,"Fort Myers, Florida",Non,Airbus
873,7 Sep 2019,ATR 72-600 (72-212A),HK-5041,"Regional Express Américas, opf Avianca",0.0,Manizales-La Nubia Airport (MZL),Sub,Atr
874,9 Sep 2019,Airbus A319-112,D-AKNL,Eurowings,0.0,near Berlin,Non,Airbus
875,11 Sep 2019,Bombardier CRJ-701ER,N765SK,"Skywest Airlines, opf American Eagle",0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",Sub,Bombardier
876,11 Sep 2019,Bombardier CRJ-701ER,N710SK,"Skywest Airlines, opf American Eagle",0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",Sub,Bombardier
877,11 Sep 2019,British Aerospace BAe-125-700A,XB-SMV,private,0.0,"Chencoh, Hopelchén",Unk,British
878,11 Sep 2019,Cessna 208 Supervan 900,D-FIDI,GoJump,1.0,near Gransee Airfield,W/O,Cessna
879,11 Sep 2019,Convair CV-440,N24DR,Ferreteria e Implementos San Francisco,2.0,"1 km ENE of Toledo-Express Airport, OH (TOL)",W/O,Convair
880,16 Sep 2019,Cessna 208B Grand Caravan,PT-MHC,TwoFlex,0.0,"0,6 km W of Manaus-Eduardo Gomes International Airport, AM (MAO/SBEG)",W/O,Cessna
881,18 Sep 2019,Britten-Norman BN-2A-21 Islander,V6-03FM,Caroline Islands Air,0.0,"Ta Island Airstrip, Caroline Islands",W/O,Britten-Norman
882,18 Sep 2019,Viking Air DHC-6 Twin Otter 400,PK-CDC,"Rimbun Air, opb Carpediem Aviation",4.0,"10 km from Kampung Mamontoga, Hoeya District, Mimika Regency",W/O,Viking
883,20 Sep 2019,Cessna 208B Grand Caravan,N895SF,private,0.0,"Pepperell Airport, MA",Sub,Cessna
884,23 Sep 2019,Britten-Norman BN-2A-27 Islander,VP-MNI,FlyMontserrat,0.0,Montserrat-John A. Osborne Airport (MNI),Sub,Britten-Norman
885,23 Sep 2019,Cessna 208B Grand Caravan EX,5H-AAM,Auric Air,2.0,Seronera Airstrip (SEU),W/O,Cessna
886,24 Sep 2019,Cessna 208B Grand Caravan,YVO134,Gobernación del Estado Bolívar,0.0,San Salvador de Paúl Airstrip,Sub,Cessna
887,24 Sep 2019,Cessna 208 Caravan,1917,Department of Royal Rainmaking and Agricultural Aviation,2.0,Village no.9 Lum Sum Sai Yok District Kanchanaburi Province,W/O,Cessna
888,30 Sep 2019,Antonov An-12BK,UR-CKL,Cavok Air,0.0,Liverpool International Airport (LPL),Sub,Antonov
889,30 Sep 2019,Gulfstream American G-1159 Gulfstream II B,XB-PVO,private,0.0,"Blue Creek, Orange Walk",W/O,Gulfstream
890,1 Oct 2019,Boeing 777-31HER,A6-EBU,Emirates,0.0,near Batam Island,Non,Boeing
891,2 Oct 2019,Boeing B-17G Flying Fortress,N93012,The Collings Foundation,7.0,"Windsor Locks-Bradley International Airport, CT (BDL)",W/O,Boeing
892,4 Oct 2019,Antonov An-12BK,UR-CAH,Ukraine Air Alliance,5.0,"1,1 km SE of Lviv-Danylo Halytskyi International Airport (LWO)",Sub,Antonov
893,7 Oct 2019,Hawker 800XP,N86MN,Delta Private Jets,0.0,"Fort Myers-Southwest Florida International Airport, FL (RSW)",Sub,Hawker
894,7 Oct 2019,Honda HA-420 HondaJet,N166HJ,Pro by Air,0.0,"Charleston International Airport, SC (CHS)",Sub,Honda
